names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-TE NN (for_DEGs),mean_expr_Rest (for_DEGs)
Gli3,42.78558,6.630618,0.0,0.0,0.8099502487562189,0.05058307955136299,1.6717528,0.042688966
Grm3,42.679646,3.417772,0.0,0.0,0.9263681592039801,0.564621555373988,2.72959,0.85039526
Sparcl1,42.48273,3.4873528,0.0,0.0,0.9273631840796019,0.578474337071975,2.4176555,0.6477518
Pitpnc1,42.19108,3.5292225,0.0,0.0,0.8965174129353234,0.493203595038253,2.2530673,0.5525621
Macf1,42.007977,1.7960138,0.0,0.0,0.9532338308457712,0.8757334917923197,2.9003465,1.7829622
Cpe,41.62647,2.2027185,0.0,0.0,0.9611940298507463,0.8413058010844537,2.8032544,1.4739943
Bmpr1b,41.554874,5.099894,0.0,0.0,0.817910447761194,0.15446037287380227,1.7906897,0.13593706
Sox6,40.900665,3.981527,0.0,0.0,0.8895522388059701,0.2880858649632326,2.1949694,0.40889958
Farp1,40.806084,2.8382418,0.0,0.0,0.8845771144278607,0.5910272598974968,2.088085,0.68739444
Apoe,39.84357,4.287492,0.0,0.0,0.8577114427860697,0.32789868528559757,2.2796419,0.3710501
B3galt1,39.730793,1.774878,0.0,0.0,0.9601990049751243,0.8494763425685211,2.978101,1.8640827
Gm6145,39.694412,6.601616,0.0,0.0,0.7532338308457711,0.053071380821510805,1.4913313,0.034839086
Hdac8,39.421696,2.7030098,0.0,0.0,0.8756218905472637,0.6544232340488747,2.083061,0.7321074
Ctnnd2,39.371155,1.5314021,0.0,0.0,0.9741293532338309,0.8818985367302978,3.425159,2.4233723
Mertk,39.191456,4.4158154,0.0,0.0,0.8199004975124378,0.17299264651266433,1.8751836,0.23008344
Qki,38.998062,2.6555624,0.0,0.0,0.96318407960199,0.8247418851667533,3.1798177,1.5383719
Ptn,38.368607,2.9292734,0.0,0.0,0.8955223880597015,0.5905073163485107,2.2241602,0.73357105
Slco1c1,38.225307,5.9157577,0.0,0.0,0.736318407960199,0.0557825150412241,1.4853396,0.055048756
Arhgap5,38.04201,2.4949121,0.0,0.0,0.8905472636815921,0.6848399316645621,2.0827117,0.80935663
Lsamp,38.028797,1.4525262,0.0,0.0,0.9900497512437811,0.9722944366040258,5.032404,4.036864
Luzp2,37.14649,3.5099986,4.995333282834035e-302,2.130549290630961e-299,0.863681592039801,0.5477976676817945,2.8212764,0.86993027
Nhsl1,37.068607,4.666484,9.00669325034162e-301,3.781403869323115e-298,0.7522388059701492,0.1960187179677635,1.5849247,0.14214386
Trps1,36.817913,2.5638833,9.544504326970958e-297,3.716823641532024e-294,0.9303482587064676,0.6728440912129541,2.5813704,1.1203209
Gpm6b,36.760082,1.7788249,8.024345846540558e-296,3.0368193365710537e-293,0.9303482587064676,0.8290871276832801,2.5336459,1.4771174
Pla2g7,36.68788,5.1399765,1.1397018173344776e-294,4.253303865524641e-292,0.7263681592039801,0.10655128871722498,1.3925344,0.082309276
Gnao1,36.571175,1.9581714,8.217101140990787e-293,3.024568598060581e-290,0.8935323383084577,0.7711134219713288,2.1549258,1.0861698
Mir100hg,36.367958,2.0179038,1.3670291289795127e-289,4.897609692757267e-287,0.9124378109452737,0.7233528931144618,2.3555791,1.2109339
Gja1,36.264057,5.5292315,5.967065948466944e-288,2.055577718401369e-285,0.7064676616915423,0.06800118844239768,1.3597542,0.06080629
