factor,gene,protein_name,loading
13,Unc5c,unc-5 netrin receptor C,0.05446395401871741
13,Hexb,hexosaminidase B,0.05342165114756136
13,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1",0.05298381516600366
13,Fat3,FAT atypical cadherin 3,0.05167195784391103
13,Robo1,roundabout guidance receptor 1,0.05043781046935413
13,Plp1,proteolipid protein (myelin) 1,0.04955191978299855
13,Ext1,exostosin glycosyltransferase 1,0.04927006762974185
13,Bcl11a,BCL11 transcription factor A,0.04922476360244665
13,Gabrg3,"gamma-aminobutyric acid type A receptor, subunit gamma 3",0.04918107876686776
13,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1",0.04894464514771164
13,Grid2,"glutamate receptor, ionotropic, delta 2",0.04848457394816354
13,Osbpl6,oxysterol binding protein-like 6,0.04794772559952904
13,Rgs6,regulator of G-protein signaling 6,0.0478841994164065
13,Epha5,Eph receptor A5,0.047637718416946306
13,Ino80,INO80 complex subunit,0.047082569567426465
13,Hdac9,histone deacetylase 9,0.045659712854484065
13,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",0.04475928961100109
13,Foxp1,forkhead box P1,0.043873755660992116
13,Gnao1,"guanine nucleotide binding protein, alpha O",0.04364316208134084
13,Agbl4,ATP/GTP binding protein-like 4,0.04337862077071066
13,Zdhhc14,"zinc finger, DHHC domain containing 14",0.04283926531384873
13,Camkmt,calmodulin-lysine N-methyltransferase,0.04280837988149536
13,Cntn3,contactin 3,0.04277585215265899
13,Psmd1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",0.04268471779139515
13,Slc9a9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9",0.04252103301225747
13,Chsy3,chondroitin sulfate synthase 3,0.042364937475139225
13,2210408I21Rik,RIKEN cDNA 2210408I21 gene,0.041776548080227974
13,Dmd,"dystrophin, muscular dystrophy",0.04165756585378765
13,Pbx1,pre B cell leukemia homeobox 1,0.04147343847802799
13,Arid5b,AT-rich interaction domain 5B,0.041247844012422284
13,Cadps2,Ca2+-dependent activator protein for secretion 2,0.04057691377600098
13,Slc1a2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",0.040302403843609974
13,Camk4,calcium/calmodulin-dependent protein kinase IV,0.03971632349893228
13,ENSMUSG00000121513,Unknown protein for ENSMUSG00000121513,0.03938954594335437
13,Brinp3,bone morphogenetic protein/retinoic acid inducible neural specific 3,0.0391559058147572
13,Clstn1,calsyntenin 1,0.039132452447326105
13,A230006K03Rik,RIKEN cDNA A230006K03 gene,0.038965996753197764
13,Umad1,UMAP1-MVP12 associated (UMA) domain containing 1,0.0388456632336402
13,Adcy8,adenylate cyclase 8,0.03855141713607668
13,A230057D06Rik,RIKEN cDNA A230057D06 gene,0.038495251329745295
13,Kifap3,kinesin-associated protein 3,0.03806779925588971
13,Sh3kbp1,SH3-domain kinase binding protein 1,0.03793559465006535
13,Nr3c1,"nuclear receptor subfamily 3, group C, member 1",0.037856970936412264
13,Cadps,Ca2+-dependent secretion activator,0.03741989778595393
13,Rab11fip3,RAB11 family interacting protein 3 (class II),0.03714293727716584
13,Exoc6b,exocyst complex component 6B,0.037015978098341104
13,Arhgap26,Rho GTPase activating protein 26,0.03682404292909637
13,Dcc,DCC netrin 1 receptor,0.03649509207664628
13,Myh10,"myosin, heavy polypeptide 10, non-muscle",0.0358141673020876
13,Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",0.0355601768695636
13,Reep1,receptor accessory protein 1,0.035439883958337554
13,Asic2,acid-sensing ion channel 2,0.035366532516534537
13,Eri3,exoribonuclease 3,0.03525064694914328
13,Eif3a,"eukaryotic translation initiation factor 3, subunit A",0.034880335467385865
13,Rab3gap1,RAB3 GTPase activating protein subunit 1,0.034625857605798324
13,Flrt2,fibronectin leucine rich transmembrane protein 2,0.034531344560640435
13,Cdh13,cadherin 13,0.034057084106101684
13,Tsc22d1,"TSC22 domain family, member 1",0.03358650491484285
13,Smg6,SMG6 nonsense mediated mRNA decay factor,0.03357720120426157
13,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",0.03344146829416819
13,Zfp385b,zinc finger protein 385B,0.03317700374034815
13,Stmn3,stathmin-like 3,0.032724731821195834
13,Septin7,septin 7,0.032395443533639906
13,Plxna2,plexin A2,0.03234170351518832
13,App,amyloid beta precursor protein,0.0322616394809636
13,Marchf1,membrane associated ring-CH-type finger 1,0.032216820161619114
13,Wnk2,WNK lysine deficient protein kinase 2,0.03217189323051084
13,Cmss1,cms small ribosomal subunit 1,0.03193408188840654
13,Nwd2,NACHT and WD repeat domain containing 2,0.031895093903878666
13,Dlg1,discs large MAGUK scaffold protein 1,0.03189165812398745
13,Pbrm1,polybromo 1,0.03184215913201941
13,Gm30439,"predicted gene, 30439",0.03172001649529762
13,Map2k4,mitogen-activated protein kinase kinase 4,0.03170117926544357
13,Kazn,"kazrin, periplakin interacting protein",0.03153971205789684
13,Smyd3,SET and MYND domain containing 3,0.0314278186413454
13,Chchd2,coiled-coil-helix-coiled-coil-helix domain containing 2,0.031372182256784384
13,Vsnl1,visinin-like 1,0.031229685378047555
13,Ptprr,protein tyrosine phosphatase receptor type R,0.031169197477054808
13,Aopep,aminopeptidase O,0.031153534020612095
13,Mitf,melanogenesis associated transcription factor,0.03082820274925377
13,Arhgap12,Rho GTPase activating protein 12,0.03074467624725352
13,Bod1l,biorientation of chromosomes in cell division 1-like,0.03048634420161586
13,Aplp2,amyloid beta precursor-like protein 2,0.030368125838074862
13,Sorcs2,sortilin-related VPS10 domain containing receptor 2,0.030157774033951902
13,Zfp804a,zinc finger protein 804A,0.030105343320757167
13,Caln1,calneuron 1,0.029884454353020153
13,Tom1l2,target of myb1-like 2 (chicken),0.029864194269808936
13,Phlpp1,PH domain and leucine rich repeat protein phosphatase 1,0.02976433309104921
13,Nmt1,N-myristoyltransferase 1,0.02961167751327765
13,Mgll,monoglyceride lipase,0.02961091942452297
13,Scg5,secretogranin V,0.02945838437302292
13,Zcchc7,"zinc finger, CCHC domain containing 7",0.02943799658849234
13,Cwc27,CWC27 spliceosome-associated protein,0.02922558589901975
13,Vezt,"vezatin, adherens junctions transmembrane protein",0.02919925467270109
13,Bcas3,BCAS3 microtubule associated cell migration factor,0.029128556170387596
13,Sez6l2,seizure related 6 homolog like 2,0.02894192177574164
13,Cyfip2,cytoplasmic FMR1 interacting protein 2,0.028862485701633595
13,Dnajb6,DnaJ heat shock protein family (Hsp40) member B6,0.028848078860824054
13,Nr6a1,"nuclear receptor subfamily 6, group A, member 1",0.028744223824644876
13,Grik3,"glutamate receptor, ionotropic, kainate 3",0.0286636869772072
13,Dnajc6,DnaJ heat shock protein family (Hsp40) member C6,0.02845662769048893
13,Luzp1,leucine zipper protein 1,0.02833268861806892
13,Fmn2,formin 2,0.028325126525375454
13,Apba2,amyloid beta precursor protein binding family A member 2,0.028319697436138387
13,Gsk3b,glycogen synthase kinase 3 beta,0.02829395508505747
13,Cpeb3,cytoplasmic polyadenylation element binding protein 3,0.02817147814128819
13,Kcnq3,"potassium voltage-gated channel, subfamily Q, member 3",0.028083126065646172
13,Il1rapl2,interleukin 1 receptor accessory protein-like 2,0.02803777897312701
13,Mapt,microtubule-associated protein tau,0.02803728637436742
13,Phactr3,phosphatase and actin regulator 3,0.028034589301127403
13,Ralgps1,Ral GEF with PH domain and SH3 binding motif 1,0.027948490566746365
13,Sorcs3,sortilin-related VPS10 domain containing receptor 3,0.027835066921878582
13,Prkn,parkin RBR E3 ubiquitin protein ligase,0.02776366814292959
13,Eif5b,eukaryotic translation initiation factor 5B,0.027706515507032913
13,Nalcn,"sodium leak channel, non-selective",0.02764426912537576
13,Ckb,"creatine kinase, brain",0.02754953396938051
13,Iqsec1,IQ motif and Sec7 domain 1,0.027545576766637214
13,Prkca,"protein kinase C, alpha",0.027514726383991755
13,Oxr1,oxidation resistance 1,0.027149568250625287
13,Commd10,COMM domain containing 10,0.027126990511316715
13,Parp8,"poly (ADP-ribose) polymerase family, member 8",0.02711734018504541
13,Rpsa,ribosomal protein SA,0.027077503928937843
13,Kcnn2,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2",0.027000234603370775
13,Sh3gl2,SH3-domain GRB2-like 2,0.026999601411802472
13,Alcam,activated leukocyte cell adhesion molecule,0.02679043495177427
13,9530059O14Rik,RIKEN cDNA 9530059O14 gene,0.026713552754803103
13,Fam193a,"family with sequence homology 193, member A",0.026640055075821262
13,Grm3,"glutamate receptor, metabotropic 3",0.026604637081940444
13,Prpf39,pre-mRNA processing factor 39,0.026548218862946716
13,Pam,peptidylglycine alpha-amidating monooxygenase,0.02649770339509283
13,Fgf13,fibroblast growth factor 13,0.026447216465206678
13,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",0.026445832394492743
13,Ly6h,lymphocyte antigen 6 family member H,0.026294814033076853
13,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",0.026293907948493202
13,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.026275034604792434
13,Cyrib,CYFIP related Rac1 interactor B,0.025964005941146326
13,Camk1d,calcium/calmodulin-dependent protein kinase ID,0.0258808255526531
13,Ptp4a2,protein tyrosine phosphatase 4a2,0.02586084521178801
13,Msi2,musashi RNA-binding protein 2,0.02570663142251894
13,Rora,RAR-related orphan receptor alpha,0.025694455638776703
13,Abca8b,"ATP-binding cassette, sub-family A member 8b",0.02564678111683983
13,Actg1,"actin, gamma, cytoplasmic 1",0.02558688938090513
13,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",0.025542825648158168
13,Fut9,fucosyltransferase 9,0.025491081118990035
13,Soga3,Unknown protein for Soga3,0.02545072904394527
13,Ddx24,DEAD box helicase 24,0.025422363184230592
13,Pten,phosphatase and tensin homolog,0.025230777951697606
13,Mir99ahg,Mir99a and Mirlet7c-1 host gene (non-protein coding),0.025219257882211802
13,Snx10,sorting nexin 10,0.02514687356080543
13,Ankib1,ankyrin repeat and IBR domain containing 1,0.025138269642299156
13,Celf4,"CUGBP, Elav-like family member 4",0.02510436186170357
13,G3bp2,G3BP stress granule assembly factor 2,0.024879307925813002
13,Elavl3,ELAV like RNA binding protein 3,0.024772970659941936
13,Snrpn,small nuclear ribonucleoprotein N,0.024762445765934
13,Slc24a3,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3",0.02470519937738538
13,Hivep3,human immunodeficiency virus type I enhancer binding protein 3,0.024686870447033684
13,Trim2,tripartite motif-containing 2,0.02457873970319099
13,Spred2,sprouty-related EVH1 domain containing 2,0.024499600185195543
13,Epc2,enhancer of polycomb homolog 2,0.024493902692665267
13,Focad,focadhesin,0.024493338526109194
13,Sv2a,synaptic vesicle glycoprotein 2a,0.024482767713918933
13,A330076H08Rik,RIKEN cDNA A330076H08 gene,0.024465202001844003
13,Polb,"polymerase (DNA directed), beta",0.024390905742884664
13,Kif5b,kinesin family member 5B,0.024390553660364037
13,Slc25a12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",0.02427545206225601
13,A930015D03Rik,RIKEN cDNA A930015D03 gene,0.024012762161957444
13,Pde10a,phosphodiesterase 10A,0.023929356112171965
13,Ptprn2,protein tyrosine phosphatase receptor type N polypeptide 2,0.023727152597617384
13,Neto1,neuropilin (NRP) and tolloid (TLL)-like 1,0.02353057161412458
13,Ctif,CBP80/20-dependent translation initiation factor,0.023398733280389432
13,Spop,speckle-type BTB/POZ protein,0.02331018586703048
13,Cdh2,cadherin 2,0.023191795780899097
13,Sec62,"SEC62 homolog, preprotein translocation",0.023128271774315583
13,Sppl2a,signal peptide peptidase like 2A,0.022919092396913875
13,Aff2,"AF4/FMR2 family, member 2",0.022887063770446327
13,Coro2b,"coronin, actin binding protein, 2B",0.022813766130206217
13,Rab40b,"Rab40B, member RAS oncogene family",0.022784710926205463
13,Btbd7,BTB domain containing 7,0.02274228137377709
13,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",0.022666203921249496
13,Pard3b,par-3 family cell polarity regulator beta,0.02249647326898118
13,Ppp4r3b,protein phosphatase 4 regulatory subunit 3B,0.0224440381834897
13,Cask,calcium/calmodulin dependent serine protein kinase,0.022382579217517108
13,Pard3,par-3 family cell polarity regulator,0.022352052875326687
13,Map2k1,mitogen-activated protein kinase kinase 1,0.022316741526336725
13,Efr3a,EFR3 homolog A,0.022281640753171437
13,Hipk2,homeodomain interacting protein kinase 2,0.022141913430745272
13,Nf1,neurofibromin 1,0.022129393211245144
13,Gm4258,predicted gene 4258,0.022120396725637988
13,Cmip,c-Maf inducing protein,0.022054895519846292
13,Babam2,BRISC and BRCA1 A complex member 2,0.022016721358987735
13,Rims2,regulating synaptic membrane exocytosis 2,0.02194101798576236
13,Homer1,homer scaffolding protein 1,0.02192651736782243
13,Pcnx,Unknown protein for Pcnx,0.021909671763234752
13,Mapre2,"microtubule-associated protein, RP/EB family, member 2",0.021843610983853456
13,Klf12,Kruppel-like transcription factor 12,0.021834719010998135
13,Phip,pleckstrin homology domain interacting protein,0.021814136621645202
13,Lrp6,low density lipoprotein receptor-related protein 6,0.021797444380888018
13,Dcaf5,DDB1 and CUL4 associated factor 5,0.021703722429445155
13,Samd12,sterile alpha motif domain containing 12,0.02139392754982865
13,Rit2,Ras-like without CAAX 2,0.021295571116859733
13,Marcks,myristoylated alanine rich protein kinase C substrate,0.021283182315583318
13,Arhgef12,Rho guanine nucleotide exchange factor 12,0.02124745557125886
13,Cdh11,cadherin 11,0.021094281734004662
13,Nme7,NME/NM23 family member 7,0.020923173565534484
13,Cyfip1,cytoplasmic FMR1 interacting protein 1,0.020916025209539665
13,Specc1,sperm antigen with calponin homology and coiled-coil domains 1,0.020896208912514688
13,Thsd7b,"thrombospondin, type I, domain containing 7B",0.020880643683581137
13,Cdh8,cadherin 8,0.020776583587457254
13,Adam23,a disintegrin and metallopeptidase domain 23,0.02074775956839272
13,Ptms,parathymosin,0.020538187365559082
13,Nmt2,N-myristoyltransferase 2,0.020465515795370738
13,Ralyl,RALY RNA binding protein-like,0.02045146424544492
13,Igf1r,insulin-like growth factor I receptor,0.0204259646105938
13,Macf1,microtubule-actin crosslinking factor 1,0.020405201863094746
13,Osbpl8,oxysterol binding protein-like 8,0.020372341356497563
13,Snd1,staphylococcal nuclease and tudor domain containing 1,0.02023359878811165
13,Rc3h1,RING CCCH (C3H) domains 1,0.020194909852049612
13,Atp5a1,Unknown protein for Atp5a1,0.020182493604440972
13,Dync1i1,dynein cytoplasmic 1 intermediate chain 1,0.020152552600013664
13,Acaca,acetyl-Coenzyme A carboxylase alpha,0.020079287780588265
13,Zmym4,"zinc finger, MYM-type 4",0.01991329931782543
13,Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like",0.019911837221507057
13,Nrgn,neurogranin,0.019825001033846136
13,Atp6v1a,"ATPase, H+ transporting, lysosomal V1 subunit A",0.019679864818788657
13,Pacsin1,protein kinase C and casein kinase substrate in neurons 1,0.019667057530739156
13,Dnaja1,DnaJ heat shock protein family (Hsp40) member A1,0.01958951552866964
13,Fryl,FRY like transcription coactivator,0.019557310913178468
13,Fnip2,folliculin interacting protein 2,0.019536401789101283
13,Fchsd2,FCH and double SH3 domains 2,0.019501183835885172
13,Apex2,apurinic/apyrimidinic endonuclease 2,0.019499259236115243
13,Purg,purine-rich element binding protein G,0.019456241152652008
13,Xkr6,X-linked Kx blood group related 6,0.019397602918358275
13,Serbp1,serpine1 mRNA binding protein 1,0.019367015687447035
13,Dhx15,DEAH-box helicase 15,0.019283518622152548
13,Rab6b,"RAB6B, member RAS oncogene family",0.01928208967400361
13,Ttll5,"tubulin tyrosine ligase-like family, member 5",0.01922368642456259
13,Gabrb2,gamma-aminobutyric acid type A receptor subunit beta 2,0.019189637239565262
13,Usp29,ubiquitin specific peptidase 29,0.01917851983893906
13,Vstm2a,V-set and transmembrane domain containing 2A,0.01914882100361656
13,Dipk1a,divergent protein kinase domain 1A,0.019062414845774124
13,Dgkb,"diacylglycerol kinase, beta",0.019002680277156493
13,Pkn2,protein kinase N2,0.018988039579105595
13,Ppp2r2a,"protein phosphatase 2, regulatory subunit B, alpha",0.018966483952609282
13,Cacna2d3,"calcium channel, voltage-dependent, alpha2/delta subunit 3",0.01887794115796505
13,Dip2b,disco interacting protein 2 homolog B,0.018725607336097152
13,Aff3,"AF4/FMR2 family, member 3",0.018725459876315485
13,Asxl3,ASXL transcriptional regulator 3,0.018716367428744943
13,Oxct1,3-oxoacid CoA transferase 1,0.018670704275663218
13,Ccnd2,cyclin D2,0.018652675161934976
13,Lmo4,LIM domain only 4,0.018602868635713983
13,Add1,adducin 1,0.01845319161485455
13,Smg7,SMG7 nonsense mediated mRNA decay factor,0.018299081103846936
13,Rps3a1,ribosomal protein S3A1,0.018262163503821177
13,Nfix,nuclear factor I/X,0.01825934640532023
13,Rapgef5,Rap guanine nucleotide exchange factor (GEF) 5,0.018233091003953702
13,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",0.018191352282631173
13,AW554918,expressed sequence AW554918,0.018187990551956797
13,Morf4l1,mortality factor 4 like 1,0.01818674032787131
13,Vapa,"vesicle-associated membrane protein, associated protein A",0.018030779543605876
13,Ttll7,"tubulin tyrosine ligase-like family, member 7",0.01798472464209363
13,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",0.01797513456106322
13,Gprasp1,G protein-coupled receptor associated sorting protein 1,0.01793030155374704
13,Gramd1b,GRAM domain containing 1B,0.01788631725328015
13,Ncoa7,nuclear receptor coactivator 7,0.01786711367303852
13,Armc9,armadillo repeat containing 9,0.0178382591845781
13,Ankrd28,ankyrin repeat domain 28,0.017796880800584728
13,Ube2d3,ubiquitin-conjugating enzyme E2D 3,0.01772173416246603
13,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,0.017705254540466838
13,Tef,thyrotroph embryonic factor,0.017681906333905675
13,Rfx7,"regulatory factor X, 7",0.017659106064533317
13,Lars2,"leucyl-tRNA synthetase, mitochondrial",0.017530357694353498
13,Scai,suppressor of cancer cell invasion,0.017522337719167464
13,Mir124a-1hg,Mir124-1 host gene (non-protein coding),0.0175177501029678
13,Zfp91,zinc finger protein 91,0.017509063763278897
13,Pabpn1,"poly(A) binding protein, nuclear 1",0.01750322764885285
13,Jakmip2,janus kinase and microtubule interacting protein 2,0.017355302025754665
13,Nbas,neuroblastoma amplified sequence,0.017332094683975917
13,Prrc2b,proline-rich coiled-coil 2B,0.017283284808284134
13,Runx2,runt related transcription factor 2,0.017219958725360206
13,Depdc5,DEP domain containing 5,0.01714472027032027
13,Atp6v1d,"ATPase, H+ transporting, lysosomal V1 subunit D",0.01703865047372144
13,Rabgap1l,RAB GTPase activating protein 1-like,0.017019059891891238
13,Arhgef3,Rho guanine nucleotide exchange factor 3,0.0169854040927117
13,Smurf2,SMAD specific E3 ubiquitin protein ligase 2,0.016968952779596824
13,Sppl3,signal peptide peptidase 3,0.016944028914662214
13,Chchd3,coiled-coil-helix-coiled-coil-helix domain containing 3,0.01692000660838555
13,Tmem150c,transmembrane protein 150C,0.01686473799890071
13,Vps13d,vacuolar protein sorting 13D,0.01668297760614156
13,Pola1,"polymerase (DNA directed), alpha 1",0.016679403826927727
13,Syn1,synapsin I,0.0166631869673396
13,Chd9,chromodomain helicase DNA binding protein 9,0.016627567989074898
13,Itm2b,integral membrane protein 2B,0.01659281673666288
13,Tfdp2,transcription factor Dp 2,0.016583107242179342
13,B830012L14Rik,RIKEN cDNA B830012L14 gene,0.016570216493311973
13,Atxn10,ataxin 10,0.016549444280882248
13,Mcf2l,mcf.2 transforming sequence-like,0.01653720740518516
13,Tnr,tenascin R,0.016478491572483593
13,Snap91,synaptosomal-associated protein 91,0.01646776106329344
13,Atp6v0a1,"ATPase, H+ transporting, lysosomal V0 subunit A1",0.016341254514380937
13,Apbb2,amyloid beta precursor protein binding family B member 2,0.0163248598209913
13,Zdhhc20,"zinc finger, DHHC domain containing 20",0.01631930849037588
13,Spred1,"sprouty protein with EVH-1 domain 1, related sequence",0.01629418778254029
13,Ranbp2,RAN binding protein 2,0.016273964634181882
13,Iqcj,IQ motif containing J,0.0162659965143394
13,Cdc42se2,CDC42 small effector 2,0.016249322853261007
13,Aig1,androgen-induced 1,0.016229933875881904
13,Tjp1,tight junction protein 1,0.016229684851027645
13,Rian,RNA imprinted and accumulated in nucleus,0.016190443628532475
13,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",0.016175992077679127
13,Edil3,EGF-like repeats and discoidin I-like domains 3,0.01612265191872507
13,Pcsk2,proprotein convertase subtilisin/kexin type 2,0.015987933153962193
13,Cdk5r1,"cyclin dependent kinase 5, regulatory subunit 1",0.015977161341233677
13,Rph3a,rabphilin 3A,0.01596108252237586
13,Ubap2l,ubiquitin-associated protein 2-like,0.015926676352963878
13,Kidins220,kinase D-interacting substrate 220,0.015920126209600198
13,Dync1h1,dynein cytoplasmic 1 heavy chain 1,0.01589819162319663
13,Klf7,Kruppel-like transcription factor 7 (ubiquitous),0.015894077373633672
13,2610035D17Rik,RIKEN cDNA 2610035D17 gene,0.015856880327021698
13,Actr3b,ARP3 actin-related protein 3B,0.01585196281479845
13,Tle4,transducin-like enhancer of split 4,0.015851521854294857
13,Tsc22d2,"TSC22 domain family, member 2",0.01582499877261376
13,Mllt10,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10",0.01581366009617283
13,Mical3,"microtubule associated monooxygenase, calponin and LIM domain containing 3",0.015811664889222653
13,Nova2,NOVA alternative splicing regulator 2,0.01580986918007084
13,Usp7,ubiquitin specific peptidase 7,0.015795612010838067
13,Map2k6,mitogen-activated protein kinase kinase 6,0.015710914611471477
13,Nol4,nucleolar protein 4,0.01568257244570091
13,Gabbr1,gamma-aminobutyric acid type B receptor subunit 1,0.015605746142394416
13,Cop1,"COP1, E3 ubiquitin ligase",0.01557857336281304
13,Ophn1,oligophrenin 1,0.015576875636198079
13,Map4,microtubule-associated protein 4,0.015560341947501081
13,Pak5,p21 (RAC1) activated kinase 5,0.015553027484020454
13,Zfp536,zinc finger protein 536,0.015510910586593955
13,Smarca2,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2,0.01549440622968456
13,D630045J12Rik,RIKEN cDNA D630045J12 gene,0.015479178996876732
13,Tspan5,tetraspanin 5,0.015464406349395382
13,Mtus2,microtubule associated tumor suppressor candidate 2,0.015433858642319635
13,Slc38a9,"solute carrier family 38, member 9",0.01539480907080515
13,Syndig1,synapse differentiation inducing 1,0.015325630813489729
13,Tln2,talin 2,0.015266378054467697
13,Csmd2,CUB and Sushi multiple domains 2,0.015261832807979419
13,Fndc3a,fibronectin type III domain containing 3A,0.015255706412969718
13,Map3k3,mitogen-activated protein kinase kinase kinase 3,0.015251232866800298
13,Nlk,nemo like kinase,0.015248411135183972
13,Tmod2,tropomodulin 2,0.015239202603656191
13,Trpm7,"transient receptor potential cation channel, subfamily M, member 7",0.015139301286127034
13,Klhl2,"kelch-like 2, Mayven",0.015101449889685828
13,Chic1,cysteine-rich hydrophobic domain 1,0.014951913118741968
13,Chd8,chromodomain helicase DNA binding protein 8,0.014881940673773693
13,Grik5,"glutamate receptor, ionotropic, kainate 5 (gamma 2)",0.014855778086938195
13,Tmx4,thioredoxin-related transmembrane protein 4,0.014836949123899455
13,Atxn7l3b,ataxin 7-like 3B,0.014789682877563931
13,Pacs1,phosphofurin acidic cluster sorting protein 1,0.014765307391404416
13,Mecp2,methyl CpG binding protein 2,0.014742486152077926
13,Arid2,AT-rich interaction domain 2,0.01459697421699175
13,Fxr1,FMR1 autosomal homolog 1,0.014579803539300207
13,Zhx2,zinc fingers and homeoboxes 2,0.014504686690314482
13,Cox16,cytochrome c oxidase assembly protein 16,0.014436519357932085
13,A330008L17Rik,RIKEN cDNA A330008L17 gene,0.014397565649581587
13,Gatad2b,GATA zinc finger domain containing 2B,0.014371593087515719
