mapmycells_second_layer,reason
Astro-NT NN,"Low cell count (Emx1_Control=7, Emx1_Mutant=12)"
COAa-PAA-MEA Barhl2 Glut,"Low cell count (Emx1_Control=7, Emx1_Mutant=10)"
L5 IT CTX Glut,"Low cell count (Emx1_Control=9, Emx1_Mutant=11)"
SMC NN,"Low cell count (Emx1_Control=6, Emx1_Mutant=3)"
Endo NN,"Low cell count (Emx1_Control=26, Emx1_Mutant=41)"
ABC NN,"Low cell count (Emx1_Control=10, Emx1_Mutant=32)"
CLA-EPd-CTX Car3 Glut,"Low cell count (Emx1_Control=21, Emx1_Mutant=11)"
SPVI-SPVC Sall3 Nfib Gly-Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
CT SUB Glut,"Low cell count (Emx1_Control=24, Emx1_Mutant=74)"
Peri NN,"Low cell count (Emx1_Control=9, Emx1_Mutant=9)"
L2 IT PPP-APr Glut,"Low cell count (Emx1_Control=8, Emx1_Mutant=24)"
Pvalb chandelier Gaba,"Low cell count (Emx1_Control=12, Emx1_Mutant=15)"
Ependymal NN,"Low cell count (Emx1_Control=7, Emx1_Mutant=6)"
NP SUB Glut,"Low cell count (Emx1_Control=25, Emx1_Mutant=55)"
Tanycyte NN,"Low cell count (Emx1_Control=4, Emx1_Mutant=0)"
OB-mi Frmd7 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
OB Trdn Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
PVR Six3 Sox3 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
MEA-BST Sox6 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=4)"
STR D2 Gaba,"Low cell count (Emx1_Control=5, Emx1_Mutant=13)"
CHOR NN,"Low cell count (Emx1_Control=2, Emx1_Mutant=0)"
IC Tfap2d Maf Glut,"Low cell count (Emx1_Control=3, Emx1_Mutant=4)"
NI-RPO Gata3 Nr4a2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
NLL Gata3 Gly-Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
LSX Otx2 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=0)"
MH Tac2 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
DTN-LDT-IPN Otp Pax3 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
OB Eomes Ms4a15 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=3)"
NTS-PARN Neurod2 Gly-Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
STR Prox1 Lhx6 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=2)"
OB-STR-CTX Inh IMN,"Low cell count (Emx1_Control=14, Emx1_Mutant=13)"
LSX Nkx2-1 Gaba,"Low cell count (Emx1_Control=5, Emx1_Mutant=2)"
STR D1 Gaba,"Low cell count (Emx1_Control=5, Emx1_Mutant=7)"
MY Lhx1 Gly-Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=2)"
TRS-BAC Sln Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=4)"
CB Granule Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
L2/3 IT RSP Glut,"Low cell count (Emx1_Control=5, Emx1_Mutant=5)"
PRT Mecom Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=2)"
OB Dopa-Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=3)"
MDRNd Prox1 Pax6 Gly-Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
MEA-BST Lhx6 Nr2e1 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
CB PLI Gly-Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
BAM NN,"Low cell count (Emx1_Control=1, Emx1_Mutant=3)"
RT-ZI Gnb3 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
SPVC Mafa Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
TH Prkcd Grin2c Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=8)"
SNc-VTA-RAmb Foxa1 Dopa,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
PGRN-PARN-MDRN Hoxb5 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
VCO Mafa Meis2 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
STR-PAL Chst9 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=15)"
NP PPP Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=6)"
SC-PAG Lef1 Emx2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
DC NN,"Low cell count (Emx1_Control=4, Emx1_Mutant=2)"
LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=2)"
SPVI-SPVC Tlx3 Ebf3 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=3)"
SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
OB-out Frmd7 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=3)"
CS-RPO Meis2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
AHN-SBPV-PVHd Pdrm12 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=0)"
LSX Prdm12 Zeb2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
LDT-PCG-CS Gata3 Lhx1 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
SCs Pax7 Nfia Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
ADP-MPO Trp73 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
Sst Chodl Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=7)"
OEC NN,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
NLOT Rho Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
SCsg Gabrr2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
PAG-ND-PCG Onecut1 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
MB-MY Tph2 Glut-Sero,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
PG-TRN-LRN Fat2 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
LSX Sall3 Lmo1 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=9)"
PRC-PAG Pax6 Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
SCsg Pde5a Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
MEA-BST Lhx6 Nfib Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=3)"
MEA-BST Lhx6 Sp9 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
CEA-BST Six3 Cyp26b1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=5)"
Bergmann NN,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
L5 PPP Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=6)"
SCig Foxb1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=2)"
SI-MA-LPO-LHA Skor1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=6)"
MV-SPIV Zic4 Neurod2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
LSX Sall3 Pax6 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
NDB-SI-MA-STRv Lhx8 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=2)"
MG-POL-SGN Nts Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=2)"
LGv-ZI Otx2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
PH-SUM Foxa1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
PH-LHA Foxb1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
LDT-PCG St18 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
SCH Six6 Cdc14a Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
L4 RSP-ACA Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=3)"
PRT Tcf7l2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=2)"
PRP Otp Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
DMH Hmx2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
STN-PSTN Pitx2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
OT D3 Folh1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
PAG-RN Nkx2-2 Otx1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=2)"
MRN-PPN-CUN Pax8 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
SCs Lef1 Gli3 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
PDTg-PCG Pax6 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
PH-ant-LHA Otp Bsx Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
ZI Pax6 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=1)"
LDT-PCG Vsx2 Lhx4 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
CEA-AAA-BST Six3 Sp9 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PAG-SC Neurod2 Meis2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MPN-MPO-PVpo Hmx2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
BST-MPN Six3 Nrgn Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PAG-PPN Pax5 Sox21 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PRNc Otp Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MPO-ADP Lhx8 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MS-SF Bsx Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PB Sst Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SI-MA-ACB Ebf1 Bnc2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
NDB-SI-ant Prdm12 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SI-MPO-LPO Lhx8 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
Pineal Crx Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PAG Pou4f2 Mesi2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
LHA Barhl2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SBPV-PVa Six6 Satb2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
STR D1 Sema5a Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SC Bnc2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SC Tnnt1 Gli3 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PVHd-SBPV Six3 Prox1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SCm-PAG Cdh23 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SCop Sln Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
CS-PRNr-DR En1 Sox2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PAG-SC Pou4f1 Zic1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
TU-ARH Otp Six6 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
VMH Nr5a1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PARN-MDRNd-NTS Gbx2 Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PVpo-VMPO-MPN Hmx2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MY Prox1 Lmo7 Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PVH-SO-PVa Otp Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PRC-PAG Tcf7l2 Irx2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
IF-RL-CLI-PAG Foxa1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
CU-ECU-SPVI Foxb1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
STR Lhx8 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MEA-COA-BMA Ccdc42 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
CS-PRNr-PCG Tmem163 Otp Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PVT-PT Ntrk1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PVHd-DMH Lhx6 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
LDT Fgf7 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PPN-CUN-PCG Otp En1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PH-an Pitx2 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SCig-an-PPT Foxb1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
PAG-MRN-RN Foxa2 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
Astroependymal NN,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
MV-SPIV Phox2b Ebf3 Lbx1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
SCs Dmbx1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
LH Pou4f1 Sox1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
RPA Pax6 Hoxb5 Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
DCO Il22 Gly-Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
DMH-LHA Gsx1 Gaba,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
RN Spp1 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
APN C1ql4 Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
