mapmycells_second_layer,reason
PAG-ND-PCG Onecut1 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
MB-MY Tph2 Glut-Sero,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PG-TRN-LRN Fat2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
LSX Sall3 Lmo1 Gaba,"Low cell count (Emx1_Mutant=9, Nestin_Mutant=1)"
PRC-PAG Pax6 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
SCsg Pde5a Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
MEA-BST Lhx6 Nfib Gaba,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=1)"
MEA-BST Lhx6 Sp9 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
CEA-BST Six3 Cyp26b1 Gaba,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=2)"
Bergmann NN,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
L5 PPP Glut,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=5)"
SCig Foxb1 Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=7)"
SI-MA-LPO-LHA Skor1 Glut,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=5)"
MV-SPIV Zic4 Neurod2 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
LSX Sall3 Pax6 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
NDB-SI-MA-STRv Lhx8 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=1)"
MG-POL-SGN Nts Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=0)"
LGv-ZI Otx2 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
PH-SUM Foxa1 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
PH-LHA Foxb1 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
LDT-PCG St18 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
SCH Six6 Cdc14a Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
L4 RSP-ACA Glut,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=2)"
PRT Tcf7l2 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=9)"
PRP Otp Gly-Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
DMH Hmx2 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
STN-PSTN Pitx2 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
OT D3 Folh1 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
PAG-RN Nkx2-2 Otx1 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
MRN-PPN-CUN Pax8 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
SCs Lef1 Gli3 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
PDTg-PCG Pax6 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
PH-ant-LHA Otp Bsx Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
ZI Pax6 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=2)"
LDT-PCG Vsx2 Lhx4 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
CEA-AAA-BST Six3 Sp9 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PAG-SC Neurod2 Meis2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
MPN-MPO-PVpo Hmx2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
BST-MPN Six3 Nrgn Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PAG-PPN Pax5 Sox21 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PRNc Otp Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=3)"
MPO-ADP Lhx8 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
MS-SF Bsx Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
PB Sst Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SI-MA-ACB Ebf1 Bnc2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
NDB-SI-ant Prdm12 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
SI-MPO-LPO Lhx8 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
Pineal Crx Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PAG Pou4f2 Mesi2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
LHA Barhl2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SBPV-PVa Six6 Satb2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
STR D1 Sema5a Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SC Bnc2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SC Tnnt1 Gli3 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PVHd-SBPV Six3 Prox1 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SCm-PAG Cdh23 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
SCop Sln Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
CS-PRNr-DR En1 Sox2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PAG-SC Pou4f1 Zic1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
TU-ARH Otp Six6 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
VMH Nr5a1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PARN-MDRNd-NTS Gbx2 Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PVpo-VMPO-MPN Hmx2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
MY Prox1 Lmo7 Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PVH-SO-PVa Otp Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PRC-PAG Tcf7l2 Irx2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
IF-RL-CLI-PAG Foxa1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
CU-ECU-SPVI Foxb1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
STR Lhx8 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
MEA-COA-BMA Ccdc42 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
CS-PRNr-PCG Tmem163 Otp Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
PVT-PT Ntrk1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PVHd-DMH Lhx6 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=4)"
LDT Fgf7 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
PPN-CUN-PCG Otp En1 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PH-an Pitx2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
SCig-an-PPT Foxb1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
PAG-MRN-RN Foxa2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=2)"
Astroependymal NN,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
MV-SPIV Phox2b Ebf3 Lbx1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
SCs Dmbx1 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
LH Pou4f1 Sox1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=4)"
RPA Pax6 Hoxb5 Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
DCO Il22 Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
DMH-LHA Gsx1 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
RN Spp1 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
APN C1ql4 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
