mapmycells_second_layer,reason
LDT Vsx2 Nkx6-1 Nfib Glut,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
Astro-NT NN,"Low cell count (Emx1_Control=7, Nestin_Control=8)"
COAa-PAA-MEA Barhl2 Glut,"Low cell count (Emx1_Control=7, Nestin_Control=16)"
L5 IT CTX Glut,"Low cell count (Emx1_Control=9, Nestin_Control=17)"
SMC NN,"Low cell count (Emx1_Control=6, Nestin_Control=3)"
Endo NN,"Low cell count (Emx1_Control=26, Nestin_Control=47)"
ABC NN,"Low cell count (Emx1_Control=10, Nestin_Control=32)"
CLA-EPd-CTX Car3 Glut,"Low cell count (Emx1_Control=21, Nestin_Control=27)"
SPVI-SPVC Sall3 Nfib Gly-Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
CT SUB Glut,"Low cell count (Emx1_Control=24, Nestin_Control=52)"
Peri NN,"Low cell count (Emx1_Control=9, Nestin_Control=18)"
L2 IT PPP-APr Glut,"Low cell count (Emx1_Control=8, Nestin_Control=19)"
Pvalb chandelier Gaba,"Low cell count (Emx1_Control=12, Nestin_Control=9)"
Ependymal NN,"Low cell count (Emx1_Control=7, Nestin_Control=3)"
NP SUB Glut,"Low cell count (Emx1_Control=25, Nestin_Control=80)"
Tanycyte NN,"Low cell count (Emx1_Control=4, Nestin_Control=0)"
OB-mi Frmd7 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
OB Trdn Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=3)"
PVR Six3 Sox3 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
MEA-BST Sox6 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=9)"
STR D2 Gaba,"Low cell count (Emx1_Control=5, Nestin_Control=19)"
CHOR NN,"Low cell count (Emx1_Control=2, Nestin_Control=0)"
IC Tfap2d Maf Glut,"Low cell count (Emx1_Control=3, Nestin_Control=4)"
NI-RPO Gata3 Nr4a2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
NLL Gata3 Gly-Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=12)"
LSX Otx2 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=0)"
MH Tac2 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
DTN-LDT-IPN Otp Pax3 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
OB Eomes Ms4a15 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=13)"
NTS-PARN Neurod2 Gly-Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
STR Prox1 Lhx6 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=3)"
OB-STR-CTX Inh IMN,"Low cell count (Emx1_Control=14, Nestin_Control=17)"
LSX Nkx2-1 Gaba,"Low cell count (Emx1_Control=5, Nestin_Control=3)"
STR D1 Gaba,"Low cell count (Emx1_Control=5, Nestin_Control=5)"
MY Lhx1 Gly-Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=1)"
TRS-BAC Sln Glut,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
CB Granule Glut,"Low cell count (Emx1_Control=1, Nestin_Control=4)"
L2/3 IT RSP Glut,"Low cell count (Emx1_Control=5, Nestin_Control=6)"
PRT Mecom Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=1)"
OB Dopa-Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=19)"
MDRNd Prox1 Pax6 Gly-Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
MEA-BST Lhx6 Nr2e1 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
CB PLI Gly-Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
BAM NN,"Low cell count (Emx1_Control=1, Nestin_Control=16)"
RT-ZI Gnb3 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
SPVC Mafa Glut,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
TH Prkcd Grin2c Glut,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
SNc-VTA-RAmb Foxa1 Dopa,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
PGRN-PARN-MDRN Hoxb5 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=9)"
VCO Mafa Meis2 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
STR-PAL Chst9 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=7)"
NP PPP Glut,"Low cell count (Emx1_Control=1, Nestin_Control=3)"
SC-PAG Lef1 Emx2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
DC NN,"Low cell count (Emx1_Control=4, Nestin_Control=2)"
LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=3)"
SPVI-SPVC Tlx3 Ebf3 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=3)"
SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=8)"
OB-out Frmd7 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=48)"
CS-RPO Meis2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
AHN-SBPV-PVHd Pdrm12 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=0)"
LSX Prdm12 Zeb2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
LDT-PCG-CS Gata3 Lhx1 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
SCs Pax7 Nfia Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=4)"
ADP-MPO Trp73 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
Sst Chodl Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=4)"
OEC NN,"Low cell count (Emx1_Control=1, Nestin_Control=39)"
NLOT Rho Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
SCsg Gabrr2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=7)"
PAG-ND-PCG Onecut1 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
MB-MY Tph2 Glut-Sero,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
PG-TRN-LRN Fat2 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
LSX Sall3 Lmo1 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
PRC-PAG Pax6 Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
SCsg Pde5a Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
MEA-BST Lhx6 Nfib Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=3)"
MEA-BST Lhx6 Sp9 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
CEA-BST Six3 Cyp26b1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=5)"
Bergmann NN,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
L5 PPP Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
SCig Foxb1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=6)"
SI-MA-LPO-LHA Skor1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=7)"
MV-SPIV Zic4 Neurod2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
LSX Sall3 Pax6 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
NDB-SI-MA-STRv Lhx8 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
MG-POL-SGN Nts Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
LGv-ZI Otx2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PH-SUM Foxa1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
PH-LHA Foxb1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
LDT-PCG St18 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
SCH Six6 Cdc14a Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
L4 RSP-ACA Glut,"Low cell count (Emx1_Control=0, Nestin_Control=3)"
PRT Tcf7l2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=6)"
PRP Otp Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
DMH Hmx2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
STN-PSTN Pitx2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
OT D3 Folh1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PAG-RN Nkx2-2 Otx1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
MRN-PPN-CUN Pax8 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
SCs Lef1 Gli3 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PDTg-PCG Pax6 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PH-ant-LHA Otp Bsx Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
ZI Pax6 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
LDT-PCG Vsx2 Lhx4 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
CEA-AAA-BST Six3 Sp9 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
PAG-SC Neurod2 Meis2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=4)"
MPN-MPO-PVpo Hmx2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
BST-MPN Six3 Nrgn Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PAG-PPN Pax5 Sox21 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=3)"
PRNc Otp Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=5)"
MPO-ADP Lhx8 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
MS-SF Bsx Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
PB Sst Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
SI-MA-ACB Ebf1 Bnc2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
NDB-SI-ant Prdm12 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
SI-MPO-LPO Lhx8 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
Pineal Crx Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
PAG Pou4f2 Mesi2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
LHA Barhl2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
SBPV-PVa Six6 Satb2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
STR D1 Sema5a Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
SC Bnc2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
SC Tnnt1 Gli3 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PVHd-SBPV Six3 Prox1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
SCm-PAG Cdh23 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
SCop Sln Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
CS-PRNr-DR En1 Sox2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PAG-SC Pou4f1 Zic1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
TU-ARH Otp Six6 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
VMH Nr5a1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PARN-MDRNd-NTS Gbx2 Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
PVpo-VMPO-MPN Hmx2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
MY Prox1 Lmo7 Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PVH-SO-PVa Otp Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PRC-PAG Tcf7l2 Irx2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
IF-RL-CLI-PAG Foxa1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
CU-ECU-SPVI Foxb1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
STR Lhx8 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
MEA-COA-BMA Ccdc42 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
CS-PRNr-PCG Tmem163 Otp Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PVT-PT Ntrk1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=1)"
PVHd-DMH Lhx6 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
LDT Fgf7 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PPN-CUN-PCG Otp En1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PH-an Pitx2 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
SCig-an-PPT Foxb1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
PAG-MRN-RN Foxa2 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
Astroependymal NN,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
MV-SPIV Phox2b Ebf3 Lbx1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
SCs Dmbx1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
LH Pou4f1 Sox1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
RPA Pax6 Hoxb5 Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
DCO Il22 Gly-Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
DMH-LHA Gsx1 Gaba,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
RN Spp1 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
APN C1ql4 Glut,"Low cell count (Emx1_Control=0, Nestin_Control=0)"
