gene_symbol,source_id,database
DDX20,GO:0006396,GO (via UniProt)
DDX21,GO:0006396,GO (via UniProt)
DDX23,GO:0045292,GO (via UniProt)
DDX27,GO:0006396,GO (via UniProt)
DDX39A,R-HSA-159236,Reactome
DDX39B,R-HSA-159236,Reactome
DDX4,GO:0006396,GO (via UniProt)
DDX41,GO:0006396,GO (via UniProt)
DDX42,GO:0000245,GO (via UniProt)
DDX46,GO:0000245,GO (via UniProt)
DDX47,GO:0006396,GO (via UniProt)
DDX49,GO:0006396,GO (via UniProt)
DDX5,GO:0000381,GO (via UniProt)
DDX51,GO:0006396,GO (via UniProt)
DDX52,GO:0006396,GO (via UniProt)
DDX54,GO:0006396,GO (via UniProt)
DDX56,GO:0006396,GO (via UniProt)
DEDD2,GO:0006396,GO (via UniProt)
DGCR8,GO:0006396,GO (via UniProt)
DHX15,GO:0006396,GO (via UniProt)
DHX16,GO:0006396,GO (via UniProt)
DHX35,GO:0006396,GO (via UniProt)
DHX36,GO:0050685,GO (via UniProt)
DHX37,GO:0006396,GO (via UniProt)
DHX38,R-HSA-159236,Reactome
DHX40,GO:0006396,GO (via UniProt)
DHX8,GO:0006396,GO (via UniProt)
DHX9,GO:0000380,GO (via UniProt)
DICER1,GO:0006396,GO (via UniProt)
DIMT1,GO:2000232,GO (via UniProt)
DIS3,GO:0006396,GO (via UniProt)
DIS3L,GO:0006396,GO (via UniProt)
DKC1,GO:0016180,GO (via UniProt)
DKFZP564O0523,GO:0006396,GO (via UniProt)
DKFZP586J0619,GO:0016180,GO (via UniProt)
DKFZp313J1712,GO:0006396,GO (via UniProt)
DKFZp313O211,GO:0006396,GO (via UniProt)
DKFZp434A0427,GO:0006396,GO (via UniProt)
DKFZp434F1720,GO:0006396,GO (via UniProt)
DKFZp434M052,GO:0000245,GO (via UniProt)
DKFZp434O1172,GO:0006396,GO (via UniProt)
DKFZp547L059,GO:0000381,GO (via UniProt)
DKFZp564C0482,GO:0006396,GO (via UniProt)
DKFZp667P103,GO:0006396,GO (via UniProt)
DKFZp686A11192,GO:0006396,GO (via UniProt)
DKFZp686A13234,GO:0006396,GO (via UniProt)
DKFZp686C1054,GO:0006396,GO (via UniProt)
DKFZp686C17209,GO:0006396,GO (via UniProt)
DKFZp686F18120,GO:0006396,GO (via UniProt)
DKFZp686F20131,GO:0000381,GO (via UniProt)
DKFZp686G18222,GO:0045292,GO (via UniProt)
DKFZp686J14194,GO:0006396,GO (via UniProt)
DKFZp686O2396,GO:0006396,GO (via UniProt)
DKFZp762C1015,GO:0006396,GO (via UniProt)
DKFZp762M013,GO:0006396,GO (via UniProt)
DKFZp781C0423,GO:0050684,GO (via UniProt)
DKFZp781H1425,GO:0006396,GO (via UniProt)
DKFZp781I1140,GO:0006396,GO (via UniProt)
DNAJC17,GO:0006396,GO (via UniProt)
DNAJC8,R-HSA-72203,Reactome
DNMT2,GO:0006396,GO (via UniProt)
DNTTIP2,GO:0006396,GO (via UniProt)
DPH3,GO:0006396,GO (via UniProt)
DROSHA,GO:0006396,GO (via UniProt)
DTWD1,GO:0006396,GO (via UniProt)
DTWD2,GO:0006396,GO (via UniProt)
DUS1L,GO:0006396,GO (via UniProt)
DUS2,GO:0006396,GO (via UniProt)
DUS3L,GO:0006396,GO (via UniProt)
DUS4L,GO:0006396,GO (via UniProt)
DUS4L-BCAP29,GO:0006396,GO (via UniProt)
DUSP11,GO:0006396,GO (via UniProt)
DYRK1A,GO:0033120,GO (via UniProt)
EBNA1BP2,GO:0006396,GO (via UniProt)
ECD,GO:0006396,GO (via UniProt)
EFTUD2,GO:0006396,GO (via UniProt)
EIF2C2,GO:0006396,GO (via UniProt)
EIF2C3,GO:0006396,GO (via UniProt)
EIF4A3,R-HSA-159236,Reactome
EIF4E,R-HSA-159231,Reactome
EIF6,GO:0006396,GO (via UniProt)
ELAC1,GO:0006396,GO (via UniProt)
ELAC2,GO:0006396,GO (via UniProt)
ELAVL2,GO:0050684,GO (via UniProt)
ELAVL4,GO:0006396,GO (via UniProt)
ELP1,GO:0006396,GO (via UniProt)
ELP2,GO:0006396,GO (via UniProt)
ELP3,GO:0006396,GO (via UniProt)
ELP4,GO:0006396,GO (via UniProt)
ELP5,GO:0006396,GO (via UniProt)
ELP6,GO:0006396,GO (via UniProt)
EMG1,GO:0006396,GO (via UniProt)
ENY2,GO:0043484,GO (via UniProt)
ERCC2,GO:0006396,GO (via UniProt)
ERI1,GO:0006396,GO (via UniProt)
ERN1,GO:0033120,GO (via UniProt)
ERN2,GO:0006396,GO (via UniProt)
ESF1,GO:0006396,GO (via UniProt)
ESRP1,GO:0043484,GO (via UniProt)
ESRP2,GO:0000380,GO (via UniProt)
ESS2,GO:0006396,GO (via UniProt)
EXD1,GO:0006396,GO (via UniProt)
EXOSC1,GO:0006396,GO (via UniProt)
EXOSC10,GO:0033120,GO (via UniProt)
EXOSC2,GO:0016180,GO (via UniProt)
EXOSC3,GO:0016180,GO (via UniProt)
EXOSC4,GO:0016180,GO (via UniProt)
EXOSC5,GO:0016180,GO (via UniProt)
EXOSC6,GO:0016180,GO (via UniProt)
EXOSC7,GO:0016180,GO (via UniProt)
EXOSC8,GO:0016180,GO (via UniProt)
EXOSC9,GO:0016180,GO (via UniProt)
FAM32A,R-HSA-72203,Reactome
FAM50A,GO:0043484,GO (via UniProt)
FAM98A,GO:0006396,GO (via UniProt)
FAM98B,GO:0006396,GO (via UniProt)
FARS2,GO:0006396,GO (via UniProt)
FASTK,GO:0043484,GO (via UniProt)
FASTKD1,GO:0006396,GO (via UniProt)
FASTKD2,GO:0006396,GO (via UniProt)
FASTKD3,GO:0006396,GO (via UniProt)
FASTKD5,GO:0006396,GO (via UniProt)
FBL,GO:0006396,GO (via UniProt)
FBLL1,GO:0006396,GO (via UniProt)
FBXO24,GO:0006396,GO (via UniProt)
FCF1,GO:0006396,GO (via UniProt)
FDXACB1,GO:0006396,GO (via UniProt)
FIP1L1,R-HSA-159231,Reactome
FKBP6,GO:0006396,GO (via UniProt)
FLJ00169,GO:0006396,GO (via UniProt)
FLJ00337,GO:0006396,GO (via UniProt)
FLJ10292,GO:0006396,GO (via UniProt)
FMR1,GO:0000381,GO (via UniProt)
FRA10AC1,GO:0006396,GO (via UniProt)
FRG1,GO:0006396,GO (via UniProt)
FTO,GO:0016180,GO (via UniProt)
FTSJ1,GO:0006396,GO (via UniProt)
FTSJ2,GO:0006396,GO (via UniProt)
FTSJ3,GO:0006396,GO (via UniProt)
FUS,GO:0043484,GO (via UniProt)
FYTTD1,R-HSA-159236,Reactome
GAR1,GO:0006396,GO (via UniProt)
GCFC2,GO:0000245,GO (via UniProt)
GEMIN2,GO:0000245,GO (via UniProt)
GEMIN4,GO:0006396,GO (via UniProt)
GEMIN5,GO:0006396,GO (via UniProt)
GEMIN6,GO:0000245,GO (via UniProt)
GEMIN7,GO:0006396,GO (via UniProt)
GEMIN8,GO:0006396,GO (via UniProt)
GITA/3p fusion,GO:0006396,GO (via UniProt)
GITA/7p fusion,GO:0006396,GO (via UniProt)
GLE1,R-HSA-159236,Reactome
GON7,GO:0006396,GO (via UniProt)
GPAT2,GO:0006396,GO (via UniProt)
GPATCH1,GO:0006396,GO (via UniProt)
GPATCH8,GO:0006396,GO (via UniProt)
GPKOW,GO:0006396,GO (via UniProt)
GRSF1,GO:0043484,GO (via UniProt)
GTDC1,GO:0006396,GO (via UniProt)
GTF2F1,R-HSA-72203,Reactome
GTF2F2,R-HSA-72203,Reactome
GTF2H5,GO:0006396,GO (via UniProt)
GTPBP3,GO:0006396,GO (via UniProt)
GTPBP4,GO:0006396,GO (via UniProt)
GTSF1,GO:0006396,GO (via UniProt)
H2AB1,GO:0006396,GO (via UniProt)
H2AB2,GO:0006396,GO (via UniProt)
HABP4,GO:0033120,GO (via UniProt)
HDAC7,GO:0050684,GO (via UniProt)
HEATR1,GO:2000232,GO (via UniProt)
HEL-S-72p,GO:0006396,GO (via UniProt)
HEL-S-91,GO:0050684,GO (via UniProt)
HEL97,GO:0006396,GO (via UniProt)
HENMT1,GO:0006396,GO (via UniProt)
HMX2,GO:0033120,GO (via UniProt)
HNRNPA0,GO:0006396,GO (via UniProt)
HNRNPA1,GO:0000381,GO (via UniProt)
HNRNPA1L2,GO:0006396,GO (via UniProt)
HNRNPA1L3,GO:0006396,GO (via UniProt)
HNRNPA2B1,GO:0006396,GO (via UniProt)
HNRNPA3,GO:0006396,GO (via UniProt)
HNRNPC,GO:0006396,GO (via UniProt)
HNRNPD,GO:0006396,GO (via UniProt)
HNRNPDL,GO:0006396,GO (via UniProt)
HNRNPF,GO:0043484,GO (via UniProt)
HNRNPH1,GO:0043484,GO (via UniProt)
HNRNPH2,GO:0043484,GO (via UniProt)
HNRNPH3,GO:0043484,GO (via UniProt)
HNRNPK,GO:0050684,GO (via UniProt)
HNRNPL,GO:0000381,GO (via UniProt)
HNRNPLL,GO:0033120,GO (via UniProt)
HNRNPM,GO:0000380,GO (via UniProt)
HNRNPR,GO:0006396,GO (via UniProt)
HNRNPU,GO:0000381,GO (via UniProt)
HNRNPUL1,GO:0000380,GO (via UniProt)
HNRNPUL2,GO:0000380,GO (via UniProt)
HNRPK,GO:0006396,GO (via UniProt)
HNRPLL,GO:0043484,GO (via UniProt)
HNRPR,GO:0006396,GO (via UniProt)
HOXB-AS3,GO:0043484,GO (via UniProt)
HSD17B10,GO:0006396,GO (via UniProt)
HSF1,GO:0006396,GO (via UniProt)
HSPA1A,GO:0033120,GO (via UniProt)
HSPA8,GO:0006396,GO (via UniProt)
HSU53209,GO:0006396,GO (via UniProt)
HTATSF1,GO:0000245,GO (via UniProt)
H_YH95C04.1,GO:0006396,GO (via UniProt)
IK,GO:0006396,GO (via UniProt)
IKBKAP,GO:0006396,GO (via UniProt)
IKBKAP variant protein,GO:0006396,GO (via UniProt)
ILDR1,GO:0043484,GO (via UniProt)
ILDR2,GO:0043484,GO (via UniProt)
ILF3,GO:0006396,GO (via UniProt)
IMP3,GO:0006396,GO (via UniProt)
IMP4,GO:0006396,GO (via UniProt)
INT1,GO:0016180,GO (via UniProt)
INTS1,GO:0016180,GO (via UniProt)
INTS10,GO:0016180,GO (via UniProt)
INTS11,GO:0016180,GO (via UniProt)
INTS12,GO:0016180,GO (via UniProt)
INTS13,GO:0016180,GO (via UniProt)
INTS14,GO:0016180,GO (via UniProt)
INTS15,GO:0006396,GO (via UniProt)
INTS2,GO:0016180,GO (via UniProt)
INTS3,GO:0016180,GO (via UniProt)
INTS4,GO:0016180,GO (via UniProt)
INTS5,GO:0016180,GO (via UniProt)
INTS6,GO:0016180,GO (via UniProt)
INTS6L,GO:0016180,GO (via UniProt)
INTS7,GO:0016180,GO (via UniProt)
INTS8,GO:0016180,GO (via UniProt)
INTS9,GO:0016180,GO (via UniProt)
ISG20,GO:0006396,GO (via UniProt)
ISG20L2,GO:0006396,GO (via UniProt)
ISY1,GO:0006376,GO (via UniProt)
ISY1-RAB43,GO:0006396,GO (via UniProt)
IVNS1ABP,GO:0006396,GO (via UniProt)
IWS1,GO:0050684,GO (via UniProt)
JMJD6,GO:0050684,GO (via UniProt)
KARS1,GO:0006396,GO (via UniProt)
KAT2A,GO:0043484,GO (via UniProt)
KAT2B,GO:0043484,GO (via UniProt)
KAT8,GO:0050684,GO (via UniProt)
KHDC4,GO:0006376,GO (via UniProt)
KHDRBS1,GO:0000381,GO (via UniProt)
KHDRBS2,GO:0000381,GO (via UniProt)
KHDRBS3,GO:0000381,GO (via UniProt)
KHSRP,GO:0006396,GO (via UniProt)
KIN,GO:0006396,GO (via UniProt)
KRI1,GO:0006396,GO (via UniProt)
KRR1,GO:0006396,GO (via UniProt)
KTI12,GO:0006396,GO (via UniProt)
LAGE3,GO:0006396,GO (via UniProt)
LARP6,GO:0006396,GO (via UniProt)
LARP7,GO:0016180,GO (via UniProt)
LAS1L,GO:0006396,GO (via UniProt)
LCMT2,GO:0006396,GO (via UniProt)
LENG1,R-HSA-72203,Reactome
LEO1,GO:0006396,GO (via UniProt)
LGALS3,GO:0006396,GO (via UniProt)
LIN28A,GO:0006396,GO (via UniProt)
LIN28B,GO:0006396,GO (via UniProt)
LOC154880,GO:0006396,GO (via UniProt)
LOC392145,GO:0006396,GO (via UniProt)
LOC392652,GO:0006396,GO (via UniProt)
LOC402468,GO:0043484,GO (via UniProt)
LOC402478,GO:0006396,GO (via UniProt)
LOC645339,GO:0006396,GO (via UniProt)
LRRC9,GO:0006396,GO (via UniProt)
LSM1,GO:0006396,GO (via UniProt)
LSM10,GO:0006396,GO (via UniProt)
LSM11,GO:0006396,GO (via UniProt)
LSM2,GO:0006396,GO (via UniProt)
LSM3,GO:0006396,GO (via UniProt)
LSM4,GO:0006396,GO (via UniProt)
LSM5,GO:0006396,GO (via UniProt)
LSM6,GO:0006396,GO (via UniProt)
LSM7,GO:0006396,GO (via UniProt)
LSM8,GO:0006396,GO (via UniProt)
LUC7L,GO:0006376,GO (via UniProt)
LUC7L2,GO:0006376,GO (via UniProt)
LUC7L3,GO:0006376,GO (via UniProt)
LUZP4,R-HSA-159236,Reactome
LYAR,GO:0006396,GO (via UniProt)
M1AP,GO:0006396,GO (via UniProt)
MAEL,GO:0006396,GO (via UniProt)
MAGOH,GO:0000381,GO (via UniProt)
MAGOHB,GO:0050684,GO (via UniProt)
MAK16,GO:0006396,GO (via UniProt)
MBLAC1,GO:0006396,GO (via UniProt)
MBNL1,GO:0043484,GO (via UniProt)
MBNL2,GO:0043484,GO (via UniProt)
MBNL3,GO:0043484,GO (via UniProt)
MEPCE,GO:0016180,GO (via UniProt)
METTL1,GO:0006396,GO (via UniProt)
METTL14,GO:0006396,GO (via UniProt)
METTL15,GO:0006396,GO (via UniProt)
METTL15P1,GO:0006396,GO (via UniProt)
METTL16,GO:0016180,GO (via UniProt)
METTL18,GO:2000232,GO (via UniProt)
METTL25B,GO:0006396,GO (via UniProt)
METTL2A,GO:0006396,GO (via UniProt)
METTL2B,GO:0006396,GO (via UniProt)
METTL3,GO:0006396,GO (via UniProt)
METTL4,GO:0016180,GO (via UniProt)
METTL5,GO:0006396,GO (via UniProt)
METTL6,GO:0006396,GO (via UniProt)
METTL8,GO:0006396,GO (via UniProt)
MFAP1,GO:0006396,GO (via UniProt)
MOCS3,GO:0006396,GO (via UniProt)
MOV10L1,GO:0006396,GO (via UniProt)
MPHOSPH10,GO:0006396,GO (via UniProt)
MPHOSPH6,GO:0006396,GO (via UniProt)
MRM1,GO:0006396,GO (via UniProt)
MRM2,GO:0006396,GO (via UniProt)
MRM3,GO:0006396,GO (via UniProt)
MRPL44,GO:0006396,GO (via UniProt)
MRTO4,GO:0006396,GO (via UniProt)
MST074,GO:0006396,GO (via UniProt)
MTERF4,GO:0006396,GO (via UniProt)
MTFMT,GO:0006396,GO (via UniProt)
MTO1,GO:0006396,GO (via UniProt)
MTPAP,GO:0006396,GO (via UniProt)
MTREX,GO:0006396,GO (via UniProt)
MYG1,GO:0006396,GO (via UniProt)
MYOD1,GO:0000381,GO (via UniProt)
NAF1,GO:0006396,GO (via UniProt)
NAT10,GO:0006396,GO (via UniProt)
NBDY,GO:0006396,GO (via UniProt)
NCBP1,R-HSA-159231,Reactome
NCBP2,R-HSA-159231,Reactome
NCBP2L,GO:0045292,GO (via UniProt)
NCBP3,GO:0006396,GO (via UniProt)
NCL,GO:0033120,GO (via UniProt)
NDC1,R-HSA-159231,Reactome
NGDN,GO:0006396,GO (via UniProt)
NHP2,GO:0016180,GO (via UniProt)
NHP2L1,GO:0006396,GO (via UniProt)
NKAP,R-HSA-72203,Reactome
NMNAT3,GO:0006396,GO (via UniProt)
NOB1,GO:0006396,GO (via UniProt)
NOC4L,GO:0006396,GO (via UniProt)
NOL10,GO:0006396,GO (via UniProt)
NOL11,GO:0006396,GO (via UniProt)
NOL3,GO:0006376,GO (via UniProt)
NOL6,GO:0006396,GO (via UniProt)
NOL7,GO:0006396,GO (via UniProt)
NOL8,GO:0006396,GO (via UniProt)
NOL9,GO:0006396,GO (via UniProt)
NOLC1,GO:0006396,GO (via UniProt)
NONO,GO:0006396,GO (via UniProt)
NOP10,GO:0016180,GO (via UniProt)
NOP14,GO:0006396,GO (via UniProt)
NOP2,GO:0006396,GO (via UniProt)
NOP53,GO:0006396,GO (via UniProt)
NOP56,GO:0006396,GO (via UniProt)
NOP58,GO:0006396,GO (via UniProt)
NOP9,GO:0006396,GO (via UniProt)
NOVA1,GO:0000381,GO (via UniProt)
NOVA2,GO:0000381,GO (via UniProt)
NPM1,GO:0050684,GO (via UniProt)
NPM3,GO:0006396,GO (via UniProt)
NRDE2,GO:0006396,GO (via UniProt)
NSA2,GO:0006396,GO (via UniProt)
NSRP1,GO:0000381,GO (via UniProt)
NSUN2,GO:0006396,GO (via UniProt)
NSUN3,GO:0006396,GO (via UniProt)
NSUN4,GO:0006396,GO (via UniProt)
NSUN5,GO:0006396,GO (via UniProt)
NSUN5P1,GO:0006396,GO (via UniProt)
NSUN5P2,GO:0006396,GO (via UniProt)
NSUN6,GO:0006396,GO (via UniProt)
NSUN7,GO:0006396,GO (via UniProt)
NUDT16,GO:2000232,GO (via UniProt)
NUDT21,R-HSA-77595,Reactome
NUFIP1,GO:0006396,GO (via UniProt)
NUP107,R-HSA-159231,Reactome
NUP133,R-HSA-159231,Reactome
NUP153,R-HSA-159231,Reactome
NUP155,R-HSA-159231,Reactome
NUP160,R-HSA-159231,Reactome
NUP188,R-HSA-159231,Reactome
NUP205,R-HSA-159231,Reactome
NUP210,R-HSA-159231,Reactome
NUP214,R-HSA-159231,Reactome
NUP35,R-HSA-159231,Reactome
NUP37,R-HSA-159231,Reactome
NUP42,R-HSA-159231,Reactome
NUP43,R-HSA-159231,Reactome
NUP50,R-HSA-159231,Reactome
NUP54,R-HSA-159231,Reactome
NUP58,R-HSA-159231,Reactome
NUP62,R-HSA-159231,Reactome
NUP85,R-HSA-159231,Reactome
NUP88,R-HSA-159231,Reactome
NUP93,R-HSA-159231,Reactome
NUP98,R-HSA-159231,Reactome
NVL,GO:0006396,GO (via UniProt)
NXF1,R-HSA-159231,Reactome
NXF2,R-HSA-159236,Reactome
NXT1,R-HSA-159236,Reactome
OSGEP,GO:0006396,GO (via UniProt)
OSGEPL1,GO:0006396,GO (via UniProt)
P/cl.18,GO:0006396,GO (via UniProt)
PA2G4,GO:0006396,GO (via UniProt)
PABPC1,GO:0006396,GO (via UniProt)
PABPC4,GO:0006396,GO (via UniProt)
PABPN1,R-HSA-77595,Reactome
PAF1,GO:0006396,GO (via UniProt)
PAK1IP1,GO:0006396,GO (via UniProt)
PAN2,GO:0006396,GO (via UniProt)
PAN3,GO:0006396,GO (via UniProt)
PAPD5,GO:0006396,GO (via UniProt)
PAPOLA,R-HSA-77595,Reactome
PAPOLB,GO:0006396,GO (via UniProt)
PAPOLG,GO:0006396,GO (via UniProt)
PARN,GO:0006396,GO (via UniProt)
PAXBP1,GO:0006396,GO (via UniProt)
PCBP1,R-HSA-72203,Reactome
PCBP2,R-HSA-72203,Reactome
PCBP4,GO:0050684,GO (via UniProt)
PCF11,R-HSA-77595,Reactome
PCIF1,GO:0006396,GO (via UniProt)
PDCD11,GO:0006396,GO (via UniProt)
PDCD7,GO:0006396,GO (via UniProt)
PDE12,GO:0006396,GO (via UniProt)
PELP1,GO:0006396,GO (via UniProt)
PES1,GO:0006396,GO (via UniProt)
PHF5A,GO:0000245,GO (via UniProt)
PIH1D1,GO:0006396,GO (via UniProt)
PIH1D2,GO:0006396,GO (via UniProt)
PIK3R1,GO:0033120,GO (via UniProt)
PIN4,GO:0006396,GO (via UniProt)
PIWIL1,GO:0006396,GO (via UniProt)
PIWIL2,GO:0006396,GO (via UniProt)
PIWIL3,GO:0006396,GO (via UniProt)
PIWIL4,GO:0006396,GO (via UniProt)
PLD6,GO:0006396,GO (via UniProt)
PLRG1,GO:0006396,GO (via UniProt)
PNLDC1,GO:0006396,GO (via UniProt)
PNN,GO:0006396,GO (via UniProt)
PNPT1,GO:0006396,GO (via UniProt)
POLDIP3,R-HSA-159236,Reactome
POLR2A,GO:0033120,GO (via UniProt)
POLR2B,R-HSA-72203,Reactome
POLR2C,R-HSA-72203,Reactome
POLR2D,R-HSA-72203,Reactome
POLR2E,R-HSA-72203,Reactome
POLR2F,R-HSA-72203,Reactome
POLR2G,R-HSA-72203,Reactome
POLR2H,R-HSA-72203,Reactome
POLR2I,R-HSA-72203,Reactome
POLR2J,R-HSA-72203,Reactome
POLR2K,R-HSA-72203,Reactome
POLR2L,R-HSA-72203,Reactome
