mapmycells_second_layer,reason
PGRN-PARN-MDRN Hoxb5 Glut,"Low cell count (Ctrl=10, Mut=7)"
VCO Mafa Meis2 Glut,"Low cell count (Ctrl=3, Mut=0)"
STR-PAL Chst9 Gaba,"Low cell count (Ctrl=9, Mut=20)"
NP PPP Glut,"Low cell count (Ctrl=4, Mut=20)"
SC-PAG Lef1 Emx2 Gaba,"Low cell count (Ctrl=2, Mut=5)"
DC NN,"Low cell count (Ctrl=6, Mut=7)"
LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,"Low cell count (Ctrl=5, Mut=8)"
SPVI-SPVC Tlx3 Ebf3 Glut,"Low cell count (Ctrl=4, Mut=4)"
SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,"Low cell count (Ctrl=9, Mut=7)"
OB-out Frmd7 Gaba,"Low cell count (Ctrl=49, Mut=6)"
CS-RPO Meis2 Gaba,"Low cell count (Ctrl=1, Mut=0)"
AHN-SBPV-PVHd Pdrm12 Gaba,"Low cell count (Ctrl=2, Mut=0)"
LSX Prdm12 Zeb2 Gaba,"Low cell count (Ctrl=3, Mut=4)"
LDT-PCG-CS Gata3 Lhx1 Gaba,"Low cell count (Ctrl=3, Mut=2)"
SCs Pax7 Nfia Gaba,"Low cell count (Ctrl=5, Mut=4)"
ADP-MPO Trp73 Glut,"Low cell count (Ctrl=2, Mut=2)"
Sst Chodl Gaba,"Low cell count (Ctrl=6, Mut=14)"
OEC NN,"Low cell count (Ctrl=40, Mut=0)"
NLOT Rho Glut,"Low cell count (Ctrl=2, Mut=0)"
SCsg Gabrr2 Gaba,"Low cell count (Ctrl=8, Mut=7)"
PAG-ND-PCG Onecut1 Gaba,"Low cell count (Ctrl=1, Mut=1)"
MB-MY Tph2 Glut-Sero,"Low cell count (Ctrl=1, Mut=0)"
PG-TRN-LRN Fat2 Glut,"Low cell count (Ctrl=2, Mut=1)"
LSX Sall3 Lmo1 Gaba,"Low cell count (Ctrl=1, Mut=10)"
PRC-PAG Pax6 Glut,"Low cell count (Ctrl=2, Mut=1)"
SCsg Pde5a Glut,"Low cell count (Ctrl=2, Mut=0)"
MEA-BST Lhx6 Nfib Gaba,"Low cell count (Ctrl=4, Mut=4)"
MEA-BST Lhx6 Sp9 Gaba,"Low cell count (Ctrl=1, Mut=1)"
CEA-BST Six3 Cyp26b1 Gaba,"Low cell count (Ctrl=5, Mut=7)"
Bergmann NN,"Low cell count (Ctrl=0, Mut=1)"
L5 PPP Glut,"Low cell count (Ctrl=2, Mut=11)"
SCig Foxb1 Glut,"Low cell count (Ctrl=6, Mut=9)"
SI-MA-LPO-LHA Skor1 Glut,"Low cell count (Ctrl=7, Mut=11)"
MV-SPIV Zic4 Neurod2 Glut,"Low cell count (Ctrl=1, Mut=2)"
LSX Sall3 Pax6 Gaba,"Low cell count (Ctrl=0, Mut=1)"
NDB-SI-MA-STRv Lhx8 Gaba,"Low cell count (Ctrl=2, Mut=3)"
MG-POL-SGN Nts Glut,"Low cell count (Ctrl=0, Mut=2)"
LGv-ZI Otx2 Gaba,"Low cell count (Ctrl=0, Mut=1)"
PH-SUM Foxa1 Glut,"Low cell count (Ctrl=2, Mut=2)"
PH-LHA Foxb1 Glut,"Low cell count (Ctrl=1, Mut=2)"
LDT-PCG St18 Gaba,"Low cell count (Ctrl=0, Mut=1)"
SCH Six6 Cdc14a Gaba,"Low cell count (Ctrl=0, Mut=1)"
L4 RSP-ACA Glut,"Low cell count (Ctrl=3, Mut=5)"
PRT Tcf7l2 Gaba,"Low cell count (Ctrl=6, Mut=11)"
PRP Otp Gly-Gaba,"Low cell count (Ctrl=1, Mut=1)"
DMH Hmx2 Gaba,"Low cell count (Ctrl=1, Mut=1)"
STN-PSTN Pitx2 Glut,"Low cell count (Ctrl=0, Mut=1)"
OT D3 Folh1 Gaba,"Low cell count (Ctrl=0, Mut=2)"
PAG-RN Nkx2-2 Otx1 Gaba,"Low cell count (Ctrl=1, Mut=4)"
MRN-PPN-CUN Pax8 Gaba,"Low cell count (Ctrl=0, Mut=1)"
SCs Lef1 Gli3 Gaba,"Low cell count (Ctrl=0, Mut=1)"
PDTg-PCG Pax6 Gaba,"Low cell count (Ctrl=0, Mut=1)"
PH-ant-LHA Otp Bsx Glut,"Low cell count (Ctrl=1, Mut=1)"
ZI Pax6 Gaba,"Low cell count (Ctrl=0, Mut=3)"
LDT-PCG Vsx2 Lhx4 Glut,"Low cell count (Ctrl=1, Mut=0)"
CEA-AAA-BST Six3 Sp9 Gaba,"Low cell count (Ctrl=2, Mut=0)"
PAG-SC Neurod2 Meis2 Glut,"Low cell count (Ctrl=4, Mut=2)"
MPN-MPO-PVpo Hmx2 Glut,"Low cell count (Ctrl=1, Mut=0)"
BST-MPN Six3 Nrgn Gaba,"Low cell count (Ctrl=1, Mut=1)"
PAG-PPN Pax5 Sox21 Gaba,"Low cell count (Ctrl=3, Mut=0)"
PRNc Otp Gly-Gaba,"Low cell count (Ctrl=5, Mut=3)"
MPO-ADP Lhx8 Gaba,"Low cell count (Ctrl=1, Mut=1)"
MS-SF Bsx Glut,"Low cell count (Ctrl=2, Mut=2)"
PB Sst Gly-Gaba,"Low cell count (Ctrl=1, Mut=0)"
SI-MA-ACB Ebf1 Bnc2 Gaba,"Low cell count (Ctrl=1, Mut=0)"
NDB-SI-ant Prdm12 Gaba,"Low cell count (Ctrl=2, Mut=1)"
SI-MPO-LPO Lhx8 Gaba,"Low cell count (Ctrl=1, Mut=0)"
Pineal Crx Glut,"Low cell count (Ctrl=2, Mut=1)"
PAG Pou4f2 Mesi2 Glut,"Low cell count (Ctrl=1, Mut=1)"
LHA Barhl2 Glut,"Low cell count (Ctrl=2, Mut=0)"
SBPV-PVa Six6 Satb2 Gaba,"Low cell count (Ctrl=1, Mut=0)"
STR D1 Sema5a Gaba,"Low cell count (Ctrl=1, Mut=0)"
SC Bnc2 Glut,"Low cell count (Ctrl=1, Mut=0)"
SC Tnnt1 Gli3 Gaba,"Low cell count (Ctrl=1, Mut=1)"
PVHd-SBPV Six3 Prox1 Gaba,"Low cell count (Ctrl=1, Mut=0)"
SCm-PAG Cdh23 Gaba,"Low cell count (Ctrl=2, Mut=1)"
SCop Sln Glut,"Low cell count (Ctrl=1, Mut=0)"
CS-PRNr-DR En1 Sox2 Gaba,"Low cell count (Ctrl=1, Mut=1)"
PAG-SC Pou4f1 Zic1 Glut,"Low cell count (Ctrl=1, Mut=2)"
TU-ARH Otp Six6 Gaba,"Low cell count (Ctrl=1, Mut=0)"
VMH Nr5a1 Glut,"Low cell count (Ctrl=1, Mut=0)"
PARN-MDRNd-NTS Gbx2 Gly-Gaba,"Low cell count (Ctrl=2, Mut=0)"
PVpo-VMPO-MPN Hmx2 Gaba,"Low cell count (Ctrl=2, Mut=0)"
MY Prox1 Lmo7 Gly-Gaba,"Low cell count (Ctrl=1, Mut=0)"
PVH-SO-PVa Otp Glut,"Low cell count (Ctrl=1, Mut=0)"
PRC-PAG Tcf7l2 Irx2 Glut,"Low cell count (Ctrl=1, Mut=2)"
IF-RL-CLI-PAG Foxa1 Glut,"Low cell count (Ctrl=1, Mut=1)"
CU-ECU-SPVI Foxb1 Glut,"Low cell count (Ctrl=1, Mut=0)"
STR Lhx8 Gaba,"Low cell count (Ctrl=1, Mut=0)"
MEA-COA-BMA Ccdc42 Glut,"Low cell count (Ctrl=1, Mut=0)"
CS-PRNr-PCG Tmem163 Otp Gaba,"Low cell count (Ctrl=1, Mut=0)"
PVT-PT Ntrk1 Glut,"Low cell count (Ctrl=1, Mut=1)"
PVHd-DMH Lhx6 Gaba,"Low cell count (Ctrl=0, Mut=4)"
LDT Fgf7 Gaba,"Low cell count (Ctrl=0, Mut=2)"
PPN-CUN-PCG Otp En1 Gaba,"Low cell count (Ctrl=0, Mut=1)"
PH-an Pitx2 Glut,"Low cell count (Ctrl=0, Mut=1)"
SCig-an-PPT Foxb1 Glut,"Low cell count (Ctrl=0, Mut=2)"
PAG-MRN-RN Foxa2 Gaba,"Low cell count (Ctrl=0, Mut=2)"
Astroependymal NN,"Low cell count (Ctrl=0, Mut=1)"
MV-SPIV Phox2b Ebf3 Lbx1 Glut,"Low cell count (Ctrl=0, Mut=1)"
SCs Dmbx1 Gaba,"Low cell count (Ctrl=0, Mut=1)"
LH Pou4f1 Sox1 Glut,"Low cell count (Ctrl=0, Mut=4)"
RPA Pax6 Hoxb5 Gly-Gaba,"Low cell count (Ctrl=0, Mut=1)"
DCO Il22 Gly-Gaba,"Low cell count (Ctrl=0, Mut=1)"
DMH-LHA Gsx1 Gaba,"Low cell count (Ctrl=0, Mut=1)"
RN Spp1 Glut,"Low cell count (Ctrl=0, Mut=1)"
APN C1ql4 Glut,"Low cell count (Ctrl=0, Mut=1)"
